judge_lower,STATUS
gregoryrobertginex,Active
jorgeluisalonso,Retired
"byrne,thomas",Active
johntdoody,Retired
mauraslatteryboyle,Retention
evelynbclay,Retired
thomaspfecarotta,Retired
ericalreddick,Retention
michaelbrown,Retired
noreenvalerialove,Retired
michaelbmchale,Retention
jamesblinn,Active
angelamunaripetrone,Active
matthewecoghlan,Retention
carolmhoward,Retention
rosemarygranthiggins,Active
thaddeuslwilson,Active
williamhhooks,Active
"araujo,mauricio",Active
ellenmandeltort,Active
alfredomaldonado,Active
neerawalsh,Active
vincentmgaughan,Active
dennisjporter,Active
domenicaastephenson,Active
stevenjgoebel,Active
nicholasrford,Active
garrittehoward,Active
williamglacy,Active
rickeyjones,Active
jamesmichaelobbish,Active
stevengwatkins,Active
ursulawalowski,Active
stanleysacks,Active
marycroberts,Retention
timothyjosephjoyce,Active
carolakipperman,Active
claytonjaycrane,Retired
paulamdaleo,Active
thomasvgainer,Active
charlespburns,Active
kennethjwadas,Active
lawrenceedwardflood,Active
raymondmyles,Retired
kevinmsheehan,Active
arthurfhill,Active
bridgetjanehughes,Active
dianegordoncannon,Active
thomasjhennelly,Active
williamto'brien,Active
kaymhanlon,Active
timothyjchambers,Active
marymargaretbrosnahan,Retention
josephmichaelclaps,Active
sharonmsullivan,Active
annahelendemacopoulos,Active
lucianopanici,Active
gearywkull,Active
marcwmartin,Active
briankflaherty,Active
josephgkazmierski,Retention
joanmargareto'brien,Retention
johnpkirby,Active
catherinemariehaberkorn,Active
neiljlinehan,Active
johnjosephhynes,Active
colleenannhyland,Active
kerrymkennedy,Active
frankgzelezinski,Active
thomasmdavy,Retired
williamjkunkle,Retired
shelleysutker-dermer,Active
laurengottaineredidin,Active
allenfmurphy,Active
larrygaxelrood,Retention
jamesnkarahalios,Active
michelempitman,Active
earlbhoffenberg,Active
michaeljhowlett,Retired
joellgreenblatt,Active
jameslrhodes,Active
tommybrewer,Active
martindcoghlan,Retired
gilbertjgrossi,Active
thomasmtucker,Retired
douglasjsimpson,Retired
marvinpluckman,Active
stephenjconnolly,Active
carmenaguilar,Active
hymaniriebman,Active
marcusrsalone,Retired
michaelkane,Active
colleenfsheehan,Active
carlbboyd,Active
darronedwardbowden,Active
jeffreylwarnick,Active
jillcerone-marisie,Active
janetadamsbrosnahan,Active
pamelaaleeming,Active
williamhwise,Retired
williamraines,Active
kathleenannpanozzo,Active
ramonocasio,Retired
richardeschwind,Active
paulspavlus,Active
josephcataldo,Active
